,year,county_name,commodity_desc,value,percent
147,1937.0,LA MOURE,NOT CORN,353000.0,0.9363395225464192
148,1937.0,LOGAN,CORN,5000.0,0.02538071065989848
149,1937.0,LOGAN,NOT CORN,192000.0,0.9746192893401016
150,1937.0,MCINTOSH,CORN,4000.0,0.023391812865497075
151,1937.0,MCINTOSH,NOT CORN,167000.0,0.9766081871345028
152,1938.0,DICKEY,CORN,39000.0,0.2582781456953642
153,1938.0,DICKEY,NOT CORN,112000.0,0.7417218543046358
154,1938.0,LA MOURE,CORN,30000.0,0.11627906976744184
155,1938.0,LA MOURE,NOT CORN,228000.0,0.8837209302325582
156,1938.0,LOGAN,CORN,8000.0,0.03347280334728033
157,1938.0,LOGAN,NOT CORN,231000.0,0.9665271966527196
158,1938.0,MCINTOSH,CORN,10000.0,0.14084507042253522
159,1938.0,MCINTOSH,NOT CORN,61000.0,0.8591549295774648
160,1939.0,DICKEY,CORN,43000.0,0.15985130111524162
161,1939.0,DICKEY,NOT CORN,226000.0,0.8401486988847584
162,1939.0,LA MOURE,CORN,33000.0,0.08800000000000001
163,1939.0,LA MOURE,NOT CORN,342000.0,0.912
164,1939.0,LOGAN,CORN,8000.0,0.0311284046692607
165,1939.0,LOGAN,NOT CORN,249000.0,0.9688715953307392
166,1939.0,MCINTOSH,CORN,12000.0,0.048979591836734684
167,1939.0,MCINTOSH,NOT CORN,233000.0,0.9510204081632652
168,1940.0,DICKEY,CORN,45400.0,0.14214151534126487
169,1940.0,DICKEY,NOT CORN,274000.0,0.8578584846587352
170,1940.0,LA MOURE,CORN,29000.0,0.06954436450839327
171,1940.0,LA MOURE,NOT CORN,388000.0,0.9304556354916068
172,1940.0,LOGAN,CORN,6800.0,0.0216010165184244
173,1940.0,LOGAN,NOT CORN,308000.0,0.9783989834815756
174,1940.0,MCINTOSH,CORN,13100.0,0.03932752927048934
175,1940.0,MCINTOSH,NOT CORN,320000.0,0.9606724707295108
176,1941.0,DICKEY,CORN,49800.0,0.1423670668953688
177,1941.0,DICKEY,NOT CORN,300000.0,0.8576329331046312
178,1941.0,LA MOURE,CORN,31300.0,0.06799913100152075
179,1941.0,LA MOURE,NOT CORN,429000.0,0.9320008689984792
180,1941.0,LOGAN,CORN,6800.0,0.02119700748129676
181,1941.0,LOGAN,NOT CORN,314000.0,0.9788029925187032
182,1941.0,MCINTOSH,CORN,12100.0,0.03436523714853735
183,1941.0,MCINTOSH,NOT CORN,340000.0,0.9656347628514628
184,1942.0,DICKEY,CORN,49600.0,0.13789268835140395
185,1942.0,DICKEY,NOT CORN,310100.0,0.8621073116485959
186,1942.0,LA MOURE,CORN,29100.0,0.06460923623445826
187,1942.0,LA MOURE,NOT CORN,421300.0,0.9353907637655418
188,1942.0,LOGAN,CORN,5700.0,0.017762542848239325
189,1942.0,LOGAN,NOT CORN,315200.0,0.9822374571517608
190,1942.0,MCINTOSH,CORN,10400.0,0.028737220226581924
191,1942.0,MCINTOSH,NOT CORN,351500.0,0.971262779773418
192,1943.0,DICKEY,CORN,43000.0,0.1277101277101277
193,1943.0,DICKEY,NOT CORN,293700.0,0.8722898722898723
194,1943.0,LA MOURE,CORN,26500.0,0.05017989017231585
195,1943.0,LA MOURE,NOT CORN,501600.0,0.9498201098276842
196,1943.0,LOGAN,CORN,4800.0,0.012990527740189444
197,1943.0,LOGAN,NOT CORN,364700.0,0.9870094722598104
198,1943.0,MCINTOSH,CORN,10200.0,0.02441359502154141
