year,county_name,commodity_desc,value
1970.0,LA MOURE,CORN,19000.0
1970.0,LA MOURE,NOT CORN,1019300.0
1970.0,LOGAN,CORN,7700.0
1970.0,LOGAN,NOT CORN,756400.0
1970.0,MCINTOSH,CORN,5600.0
1970.0,MCINTOSH,NOT CORN,789900.0
1971.0,DICKEY,CORN,32000.0
1971.0,DICKEY,NOT CORN,894400.0
1971.0,LA MOURE,CORN,18900.0
1971.0,LA MOURE,NOT CORN,1351400.0
1971.0,LOGAN,CORN,5400.0
1971.0,LOGAN,NOT CORN,946400.0
1971.0,MCINTOSH,CORN,6300.0
1971.0,MCINTOSH,NOT CORN,979600.0
1972.0,DICKEY,CORN,30300.0
1972.0,DICKEY,NOT CORN,841300.0
1972.0,LA MOURE,CORN,17000.0
1972.0,LA MOURE,NOT CORN,1240500.0
1972.0,LOGAN,CORN,4300.0
1972.0,LOGAN,NOT CORN,825000.0
1972.0,MCINTOSH,CORN,5400.0
1972.0,MCINTOSH,NOT CORN,854400.0
1973.0,DICKEY,CORN,33200.0
1973.0,DICKEY,NOT CORN,995500.0
1973.0,LA MOURE,CORN,19500.0
1973.0,LA MOURE,NOT CORN,1422100.0
1973.0,LOGAN,CORN,4900.0
1973.0,LOGAN,NOT CORN,943400.0
1973.0,MCINTOSH,CORN,6100.0
1973.0,MCINTOSH,NOT CORN,956400.0
1974.0,DICKEY,CORN,33600.0
1974.0,DICKEY,NOT CORN,1230000.0
1974.0,LA MOURE,CORN,18400.0
1974.0,LA MOURE,NOT CORN,1715000.0
1974.0,LOGAN,CORN,4000.0
1974.0,LOGAN,NOT CORN,1052600.0
1974.0,MCINTOSH,CORN,7300.0
1974.0,MCINTOSH,NOT CORN,1129700.0
1975.0,DICKEY,CORN,30200.0
1975.0,DICKEY,NOT CORN,1234600.0
1975.0,LA MOURE,CORN,17700.0
1975.0,LA MOURE,NOT CORN,1536600.0
1975.0,LOGAN,CORN,4200.0
1975.0,LOGAN,NOT CORN,1054400.0
1975.0,MCINTOSH,CORN,6500.0
1975.0,MCINTOSH,NOT CORN,1172500.0
1976.0,DICKEY,CORN,30500.0
1976.0,DICKEY,NOT CORN,1608200.0
1976.0,LA MOURE,CORN,22100.0
1976.0,LA MOURE,NOT CORN,1810400.0
1976.0,LOGAN,CORN,4000.0
1976.0,LOGAN,NOT CORN,1061100.0
1976.0,MCINTOSH,CORN,5200.0
1976.0,MCINTOSH,NOT CORN,1299300.0
1977.0,DICKEY,CORN,42600.0
1977.0,DICKEY,NOT CORN,1208700.0
1977.0,LA MOURE,CORN,21200.0
1977.0,LA MOURE,NOT CORN,1516200.0
1977.0,LOGAN,CORN,6800.0
1977.0,LOGAN,NOT CORN,1029500.0
1977.0,MCINTOSH,CORN,9800.0
1977.0,MCINTOSH,NOT CORN,1109600.0
1978.0,DICKEY,CORN,41100.0
1978.0,DICKEY,NOT CORN,1266400.0
1978.0,LA MOURE,CORN,21300.0
1978.0,LA MOURE,NOT CORN,1703900.0
1978.0,LOGAN,CORN,6800.0
1978.0,LOGAN,NOT CORN,1049600.0
1978.0,MCINTOSH,CORN,9400.0
1978.0,MCINTOSH,NOT CORN,1155100.0
1979.0,DICKEY,CORN,45400.0
1979.0,DICKEY,NOT CORN,1290300.0
1979.0,LA MOURE,CORN,21000.0
1979.0,LA MOURE,NOT CORN,1625900.0
1979.0,LOGAN,CORN,7500.0
1979.0,LOGAN,NOT CORN,1123000.0
